question,intent
Who was the first president of the United States?,american_history
What caused the Civil War?,american_history
When did the American Revolution begin?,american_history
What is the Declaration of Independence?,american_history
Who wrote the Constitution?,american_history
What was the Boston Tea Party?,american_history
What were the causes of World War I for America?,american_history
When did the United States enter World War II?,american_history
What was the Emancipation Proclamation?,american_history
Who was Abraham Lincoln?,american_history
What was the Great Depression?,american_history
What is Manifest Destiny?,american_history
What was the Trail of Tears?,american_history
Who were the Founding Fathers?,american_history
What was the Reconstruction era?,american_history
What was the Cold War?,american_history
Who was Martin Luther King Jr?,american_history
What was the Civil Rights Movement?,american_history
What was the Louisiana Purchase?,american_history
Who was George Washington?,american_history
What was the significance of the Battle of Gettysburg?,american_history
What was the New Deal?,american_history
What caused the American Revolution?,american_history
What was the Missouri Compromise?,american_history
Who was Thomas Jefferson?,american_history
What happened at Pearl Harbor?,american_history
What was Reconstruction after the Civil War?,american_history
What were the Jim Crow laws?,american_history
What was the significance of the Gettysburg Address?,american_history
What was the Vietnam War about?,american_history
What is the Pythagorean theorem?,math
How do you solve a quadratic equation?,math
What is the order of operations?,math
What is a derivative in calculus?,math
How do you find the area of a circle?,math
What is a prime number?,math
What is the quadratic formula?,math
How do you calculate the slope of a line?,math
What is an integral?,math
What is the difference between mean median and mode?,math
How do you simplify fractions?,math
What is a matrix in math?,math
What is the binomial theorem?,math
How do you solve systems of equations?,math
What is a logarithm?,math
What is the Fundamental Theorem of Calculus?,math
How do you find the volume of a sphere?,math
What is a function in mathematics?,math
What is the difference between permutations and combinations?,math
What is pi?,math
How do you factor a polynomial?,math
What is a limit in calculus?,math
What is the chain rule?,math
How do you convert fractions to decimals?,math
What is an exponent?,math
What is the quadratic formula used for?,math
What is probability?,math
How do you find the greatest common factor?,math
What is the Pythagorean triple?,math
What is standard deviation?,math
What is a metaphor?,english
What is the difference between a simile and a metaphor?,english
What is a thesis statement?,english
How do you write a topic sentence?,english
What is foreshadowing in literature?,english
What is the difference between active and passive voice?,english
What is irony?,english
What is an allegory?,english
How do you write a conclusion paragraph?,english
What is the difference between a novel and a short story?,english
What is characterization in literature?,english
What is a protagonist?,english
What is an antagonist?,english
What is alliteration?,english
What is personification?,english
What is the difference between connotation and denotation?,english
What is a soliloquy?,english
What is the difference between prose and poetry?,english
What is a haiku?,english
What is symbolism in literature?,english
What is the plot structure of a story?,english
What is a rhetorical question?,english
What is the difference between fiction and nonfiction?,english
What is imagery in writing?,english
What is an oxymoron?,english
What is stream of consciousness in writing?,english
What is the difference between a comedy and a tragedy?,english
What is a motif in literature?,english
What is diction in writing?,english
What is a literary device?,english
What is color theory in art?,art
Who was Leonardo da Vinci?,art
What is the difference between painting and drawing?,art
What is impressionism?,art
Who was Pablo Picasso?,art
What is abstract art?,art
What is the Renaissance in art?,art
What is composition in art?,art
What is perspective in drawing?,art
What is chiaroscuro?,art
Who was Vincent van Gogh?,art
What is surrealism?,art
What is the difference between 2D and 3D art?,art
What are the primary colors?,art
What is a still life in art?,art
What is pointillism?,art
What is sculpture?,art
Who was Michelangelo?,art
What is pop art?,art
What is the golden ratio in art?,art
What is cubism?,art
Who was Frida Kahlo?,art
What is watercolor painting?,art
What is the difference between realism and abstraction?,art
What is negative space in art?,art
What is typography?,art
What is a mural?,art
What is expressionism in art?,art
What is collage as an art form?,art
What is the Baroque period in art?,art
What is democracy?,politics
What is the difference between a republic and a democracy?,politics
What are the three branches of the US government?,politics
What is federalism?,politics
What is the Electoral College?,politics
What is a political party?,politics
What is capitalism?,politics
What is socialism?,politics
What is the role of the Supreme Court?,politics
What is a filibuster?,politics
What is separation of powers?,politics
What is the Bill of Rights?,politics
What is gerrymandering?,politics
What is the difference between liberalism and conservatism?,politics
What is a veto?,politics
What is diplomacy?,politics
What is NATO?,politics
What is the United Nations?,politics
What is propaganda?,politics
What is the difference between foreign policy and domestic policy?,politics
What is an amendment to the Constitution?,politics
What is checks and balances?,politics
What is a referendum?,politics
What is lobbying?,politics
What is the role of the President?,politics
What is a political ideology?,politics
What is the difference between a senator and a representative?,politics
What is the role of the vice president?,politics
What is civil liberties?,politics
What is the two-party system?,politics
What is a cell?,biology
What is DNA?,biology
